gene_name,sample_name,gene_family,aro_accession,drug_class,high_level_drug_class,resistance_mechanism,model_type,num_contigs,cutoff,contig_coverage_breadth,contig_percent_id,contig_species,num_reads,read_gene_id,read_coverage_breadth,read_coverage_depth,read_species,total_reads,rpm,dpm
AAC(6')-Ib-cr3,App5_Vellore_hospital_wastewater,AAC(6'); AAC(6')-Ib-cr,ARO:3005112,fluoroquinolone antibiotic; aminoglycoside antibiotic,fluoroquinolone antibiotic; aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,ARO:3005112|ID:3840|Name:AAC(6')-Ib-cr3|NCBI:HQ170516.1,39.17,0.47,,49379146,0.81,0.19
AAC(6')-Ib-cr4,App5_Vellore_hospital_wastewater,AAC(6'); AAC(6')-Ib-cr,ARO:3005114,fluoroquinolone antibiotic; aminoglycoside antibiotic,fluoroquinolone antibiotic; aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,7.0,ARO:3005114|ID:3841|Name:AAC(6')-Ib-cr4|NCBI:JZKY01000061.1,54.92,1.13,,49379146,2.84,0.46
AAC(6')-Ib11,App5_Vellore_hospital_wastewater,AAC(6'),ARO:3002582,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,4.0,ARO:3002582|ID:1801|Name:AAC(6')-Ib11|NCBI:AY136758.1,32.81,0.84,,49379146,1.62,0.34
AAC(6')-Ib3,App5_Vellore_hospital_wastewater,AAC(6'),ARO:3002576,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,ARO:3002576|ID:1068|Name:AAC(6')-Ib3|NCBI:FJ854362.1,42.52,0.54,,49379146,0.81,0.22
AAC(6')-Ib7,App5_Vellore_hospital_wastewater,AAC(6'),ARO:3002578,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,448.0,ARO:3002578|ID:2117|Name:AAC(6')-Ib7|NCBI:KR091911.1,100.0,61.76,Pseudomonas aeruginosa (chromosome or plasmid): 12; Klebsiella pneumoniae (chromosome or plasmid): 4; Enterobacter kobei (chromosome or plasmid): 1; Aeromonas (plasmid): 1; ,49379146,181.94,25.08
AAC(6')-Ib8,App5_Vellore_hospital_wastewater,AAC(6'),ARO:3002579,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,ARO:3002579|ID:2071|Name:AAC(6')-Ib8|NCBI:KF998105.1,35.25,0.44,,49379146,0.81,0.18
AAC(6')-Ib9,App5_Vellore_hospital_wastewater,AAC(6'),ARO:3002580,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,2,Nudged;Strict,95.5882,97.91499999999999,Unknown taxonomy (chromosome or plasmid),,,,,,49379146,0.0,0.0
AAC(6')-Ie-APH(2'')-Ia bifunctional protein,App5_Vellore_hospital_wastewater,aminoglycoside bifunctional resistance protein,ARO:3002597,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Nudged,89.375,97.2,Unknown taxonomy (chromosome or plasmid),189.0,ARO:3002597|ID:1814|Name:AAC(6')-Ie-APH(2'')-Ia_bifunctional_protein|NCBI:GU565967.1,100.0,18.6,,49379146,76.76,7.55
AAC(6')-Il,App5_Vellore_hospital_wastewater,AAC(6'),ARO:3004635,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,76.0,ARO:3004635|ID:3334|Name:AAC(6')-Il|NCBI:U13880.2,100.0,20.47,Pseudomonas aeruginosa (chromosome): 4; Pseudomonas stutzeri (chromosome or plasmid): 3; Pseudomonas aeruginosa (chromosome or plasmid): 3; Pseudomonas (chromosome): 1; ,49379146,30.87,8.31
ADC-3,App5_Vellore_hospital_wastewater,ADC beta-lactamase without carbapenemase activity,ARO:3003849,cephalosporin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.3438,100.0,,,,,,,49379146,0.0,0.0
AER-1,App5_Vellore_hospital_wastewater,AER beta-lactamase,ARO:3002481,penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,4.0,ARO:3002481|ID:1149|Name:AER-1|NCBI:U14748.1,51.69,0.65,,49379146,1.62,0.26
ANT(2'')-Ia,App5_Vellore_hospital_wastewater,ANT(2''),ARO:3000230,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Perfect,99.4382,100.0,Unknown taxonomy (chromosome or plasmid),32.0,ARO:3000230|ID:1372|Name:ANT(2'')-Ia|NCBI:AF078527.1,100.0,7.86,Providencia heimbachae (chromosome or plasmid): 3; ,49379146,13.0,3.19
ANT(3'')-II-AAC(6')-IId bifunctional protein,App5_Vellore_hospital_wastewater,aminoglycoside bifunctional resistance protein,ARO:3002598,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,Unknown taxonomy (chromosome or plasmid),88.0,ARO:3002598|ID:339|Name:ANT(3'')-II-AAC(6')-IId_bifunctional_protein|NCBI:AF453998.2,51.72,8.95,,49379146,35.74,3.63
ANT(3'')-IIa,App5_Vellore_hospital_wastewater,ANT(3''),ARO:3004089,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Strict,83.0247,99.63,Unknown taxonomy (chromosome or plasmid),77.0,ARO:3004089|ID:2752|Name:ANT(3'')-IIa|NCBI:X02340.1,92.08,10.61,Enterobacter hormaechei (chromosome or plasmid): 1; ,49379146,31.27,4.31
ANT(4')-IIb,App5_Vellore_hospital_wastewater,ANT(4'),ARO:3002625,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,ARO:3002625|ID:1329|Name:ANT(4')-IIb|NCBI:AY114142.1,39.95,0.4,,49379146,0.81,0.16
ANT(6)-Ia,App5_Vellore_hospital_wastewater,ANT(6),ARO:3002626,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Nudged,24.6528,98.59,Unknown taxonomy (chromosome or plasmid),6.0,ARO:3002626|ID:914|Name:ANT(6)-Ia|NCBI:KF648874.1,40.62,0.94,,49379146,2.44,0.38
APH(2'')-IIIa,App5_Vellore_hospital_wastewater,APH(2''),ARO:3002636,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.6059,100.0,,,,,,,49379146,0.0,0.0
APH(2'')-If,App5_Vellore_hospital_wastewater,APH(2''),ARO:3004191,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,4.0,ARO:3004191|ID:2837|Name:APH(2'')-If|NCBI:AY701528.1,55.15,0.51,,49379146,1.62,0.21
APH(3'')-Ib,App5_Vellore_hospital_wastewater,APH(3''),ARO:3002639,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Strict,99.6269,99.63,Unknown taxonomy (chromosome or plasmid),168.0,ARO:3002639|ID:1830|Name:APH(3'')-Ib|NCBI:AF313472.2,100.0,26.77,Escherichia coli (chromosome or plasmid): 1; Acinetobacter (chromosome or plasmid): 1; ,49379146,68.23,10.87
APH(3')-IIIa,App5_Vellore_hospital_wastewater,APH(3'),ARO:3002647,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,ARO:3002647|ID:1332|Name:APH(3')-IIIa|NCBI:CP004067.1,23.9,0.24,,49379146,0.81,0.1
APH(3')-IIa,App5_Vellore_hospital_wastewater,APH(3'),ARO:3002644,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,1.0,ARO:3002644|ID:2114|Name:APH(3')-IIa|NCBI:V00618.1,18.99,0.19,,49379146,0.41,0.08
APH(3')-Ia,App5_Vellore_hospital_wastewater,APH(3'),ARO:3002641,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Nudged,64.3382,100.0,Unknown taxonomy (chromosome or plasmid),14.0,ARO:3002641|ID:291|Name:APH(3')-Ia|NCBI:BX664015.1,87.75,2.46,,49379146,5.69,1.0
APH(3')-Ib,App5_Vellore_hospital_wastewater,APH(3'),ARO:3002642,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,4.0,ARO:3002642|ID:835|Name:APH(3')-Ib|NCBI:M20305.1,64.58,0.66,,49379146,1.62,0.27
APH(3')-VIa,App5_Vellore_hospital_wastewater,APH(3'),ARO:3002652,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Strict,99.6154,98.46,Unknown taxonomy (chromosome or plasmid),40.0,ARO:3002652|ID:1121|Name:APH(3')-VIa|NCBI:X07753.1,100.0,6.97,Acinetobacter baumannii (chromosome or plasmid): 1; ,49379146,16.24,2.83
APH(3')-VIb,App5_Vellore_hospital_wastewater,APH(3'),ARO:3002653,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,7.0,ARO:3002653|ID:3759|Name:APH(3')-VIb|NCBI:AJ627643.4,20.38,1.02,,49379146,2.84,0.41
APH(6)-Id,App5_Vellore_hospital_wastewater,APH(6),ARO:3002660,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Strict,99.6416,99.64,Unknown taxonomy (chromosome or plasmid),194.0,ARO:3002660|ID:1031|Name:APH(6)-Id|NCBI:AF024602.1,100.0,30.43,Escherichia coli (chromosome or plasmid): 12; Escherichia coli (plasmid): 10; ,49379146,78.79,12.36
Acinetobacter baumannii AbaF,App5_Vellore_hospital_wastewater,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3004573,phosphonic acid antibiotic,phosphonic acid antibiotic,antibiotic efflux,protein homolog,0,,,,,2.0,ARO:3004573|ID:3277|Name:Acinetobacter_baumannii_AbaF|NCBI:CP000521.1,6.74,0.13,Acinetobacter (chromosome): 2; ,49379146,0.81,0.05
Acinetobacter baumannii AmvA,App5_Vellore_hospital_wastewater,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3004577,macrolide antibiotic; disinfecting agents and antiseptics,macrolide antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,2.0,ARO:3004577|ID:3280|Name:Acinetobacter_baumannii_AmvA|NCBI:FJ911554.1,15.35,0.15,Acinetobacter baumannii (chromosome): 1; ,49379146,0.81,0.06
AcrE,App5_Vellore_hospital_wastewater,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000499,fluoroquinolone antibiotic; cephalosporin; cephamycin; penam,fluoroquinolone antibiotic; beta-lactam antibiotic,antibiotic efflux,protein homolog,3,Nudged,64.5078,100.0,Unknown taxonomy (chromosome or plasmid) Escherichia coli (chromosome or plasmid),13.0,ARO:3000499|ID:1445|Name:AcrE|NCBI:U00096.1,87.91,1.61,Escherichia coli (chromosome or plasmid): 2; ,49379146,5.28,0.65
AcrF,App5_Vellore_hospital_wastewater,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000502,fluoroquinolone antibiotic; cephalosporin; cephamycin; penam,fluoroquinolone antibiotic; beta-lactam antibiotic,antibiotic efflux,protein homolog,5,Nudged,41.8357,99.38499999999999,Unknown taxonomy (chromosome or plasmid),36.0,ARO:3000502|ID:1437|Name:AcrF|NCBI:U00096.1,79.13,1.5,Enterobacter (chromosome): 1; ,49379146,14.62,0.61
AcrS,App5_Vellore_hospital_wastewater,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000656,fluoroquinolone antibiotic; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,beta-lactam antibiotic; tetracycline antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics; phenicol antibiotic,antibiotic efflux,protein homolog,2,Nudged,96.3801,100.0,Unknown taxonomy (chromosome or plasmid),16.0,ARO:3000656|ID:520|Name:AcrS|NCBI:U00096.1,97.29,2.8,,49379146,6.5,1.14
Alkalihalobacillus clausii chloramphenicol acetyltransferase,App5_Vellore_hospital_wastewater,chloramphenicol acetyltransferase (CAT),ARO:3004452,phenicol antibiotic,phenicol antibiotic,antibiotic inactivation,protein homolog,0,,,,,1.0,ARO:3004452|ID:2891|Name:Alkalihalobacillus_clausii_chloramphenicol_acetyltransferase|NCBI:AY238971.1,21.83,0.22,,49379146,0.41,0.09
ArnT,App5_Vellore_hospital_wastewater,pmr phosphoethanolamine transferase,ARO:3005053,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,1,Nudged,14.6739,100.0,Unknown taxonomy (chromosome),11.0,ARO:3005053|ID:3795|Name:ArnT|NCBI:FO834906.1,44.5,0.5,,49379146,4.47,0.2
AxyY,App5_Vellore_hospital_wastewater,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3004144,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin,fluoroquinolone antibiotic; beta-lactam antibiotic; macrolide antibiotic; aminoglycoside antibiotic,antibiotic efflux,protein homolog,0,,,,,30.0,ARO:3004144|ID:2799|Name:AxyY|NCBI:AFRQ01000061.1,39.99,0.05,,49379146,12.18,0.02
BCL-1,App5_Vellore_hospital_wastewater,BCL Beta-lactamase,ARO:3004749,penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.2727,100.0,,,,,,,49379146,0.0,0.0
BES-1,App5_Vellore_hospital_wastewater,BES Beta-lactamase,ARO:3004751,penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,ARO:3004751|ID:3560|Name:BES-1|NCBI:AF234999.1,27.87,0.17,,49379146,0.81,0.07
BKC-1,App5_Vellore_hospital_wastewater,BKC Beta-lactamase,ARO:3004757,carbapenem,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,3.0,ARO:3004757|ID:3563|Name:BKC-1|NCBI:KP689347.1,31.1,0.31,,49379146,1.22,0.13
BLMT,App5_Vellore_hospital_wastewater,Bleomycin resistant protein,ARO:3005036,glycopeptide antibiotic,glycopeptide antibiotic,antibiotic inactivation,protein homolog,0,,,,,1.0,ARO:3005036|ID:3789|Name:BLMT|NCBI:AB255435.1,21.26,0.21,,49379146,0.41,0.09
BRP(MBL),App5_Vellore_hospital_wastewater,Bleomycin resistant protein,ARO:3001205,glycopeptide antibiotic,glycopeptide antibiotic,antibiotic inactivation,protein homolog,1,Nudged,59.8361,100.0,Unknown taxonomy (chromosome or plasmid),6.0,ARO:3001205|ID:255|Name:BRP(MBL)|NCBI:KC503911.1,77.32,1.73,,49379146,2.44,0.7
Bacillus subtilis mprF,App5_Vellore_hospital_wastewater,defensin resistant mprF,ARO:3003324,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,2,Nudged,1.867,100.0,,,,,,,49379146,0.0,0.0
BahA,App5_Vellore_hospital_wastewater,Bah amidohydrolase,ARO:3003984,peptide antibiotic,peptide antibiotic,antibiotic inactivation,protein homolog,1,Nudged,1.0624,100.0,,,,,,,49379146,0.0,0.0
Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin,App5_Vellore_hospital_wastewater,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),ARO:3004480,rifamycin antibiotic,rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,2,Nudged,13.8163,99.155,Unknown taxonomy (chromosome),89.0,ARO:3004480|ID:2914|Name:Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin|NCBI:NC_008618.1,75.85,1.51,Bifidobacterium bifidum (chromosome): 4; Bifidobacterium longum (chromosome): 3; Bifidobacterium dentium (chromosome): 1; Klebsiella pneumoniae (chromosome): 1; ,49379146,36.14,0.61
Bifidobacterium bifidum ileS conferring resistance to mupirocin,App5_Vellore_hospital_wastewater,antibiotic-resistant isoleucyl-tRNA synthetase (ileS),ARO:3003730,mupirocin-like antibiotic,mupirocin-like antibiotic,antibiotic target alteration,protein homolog,0,,,,,14.0,ARO:3003730|ID:2278|Name:Bifidobacterium_bifidum_ileS_conferring_resistance_to_mupirocin|NCBI:CP001840.1,37.42,0.41,,49379146,5.69,0.17
BlaB-34,App5_Vellore_hospital_wastewater,BlaB beta-lactamase,ARO:3005548,carbapenem; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.4,100.0,,,,,,,49379146,0.0,0.0
Burkholderia dolosa gyrA conferring resistance to fluoroquinolones,App5_Vellore_hospital_wastewater,fluoroquinolone resistant gyrA,ARO:3004860,fluoroquinolone antibiotic,fluoroquinolone antibiotic,antibiotic target alteration,protein variant,1,Nudged,8.871,96.1,,,,,,,49379146,0.0,0.0
CARB-3,App5_Vellore_hospital_wastewater,CARB beta-lactamase,ARO:3002242,penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,ARO:3002242|ID:467|Name:CARB-3|NCBI:S46063.1,17.7,0.23,Enterobacter hormaechei (chromosome or plasmid): 1; ,49379146,0.81,0.09
CARB-6,App5_Vellore_hospital_wastewater,CARB beta-lactamase,ARO:3002245,penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,1.0,ARO:3002245|ID:641|Name:CARB-6|NCBI:AF030945.1,17.42,0.17,,49379146,0.41,0.07
CMY-136,App5_Vellore_hospital_wastewater,CMY beta-lactamase,ARO:3004854,cephalosporin; cephamycin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Strict,67.0157,99.22,Unknown taxonomy (chromosome or plasmid),,,,,,49379146,0.0,0.0
CMY-4,App5_Vellore_hospital_wastewater,CMY beta-lactamase,ARO:3002015,cephamycin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,5.0,ARO:3002015|ID:271|Name:CMY-4|NCBI:Y15130.1,39.81,0.66,,49379146,2.03,0.27
CMY-59,App5_Vellore_hospital_wastewater,CMY beta-lactamase,ARO:3002069,cephamycin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,31.8182,99.21,Unknown taxonomy (chromosome or plasmid),30.0,ARO:3002069|ID:1840|Name:CMY-59|NCBI:AB587082.1,75.51,3.02,Escherichia coli (chromosome): 1; ,49379146,12.18,1.23
CRP,App5_Vellore_hospital_wastewater,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000518,macrolide antibiotic; fluoroquinolone antibiotic; penam,fluoroquinolone antibiotic; beta-lactam antibiotic; macrolide antibiotic,antibiotic efflux,protein homolog,2,Nudged,55.4502,99.02000000000001,Unknown taxonomy (chromosome or plasmid),10.0,ARO:3000518|ID:869|Name:CRP|NCBI:AP009048.1,79.94,1.52,,49379146,4.06,0.62
CTX-M-123,App5_Vellore_hospital_wastewater,CTX-M beta-lactamase,ARO:3001982,cephalosporin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,3.0,ARO:3001982|ID:689|Name:CTX-M-123|NCBI:JN790864.1,36.53,0.39,,49379146,1.22,0.16
CTX-M-172,App5_Vellore_hospital_wastewater,CTX-M beta-lactamase,ARO:3005595,cephalosporin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,42.4658,100.0,Unknown taxonomy (chromosome or plasmid),,,,,,49379146,0.0,0.0
CTX-M-176,App5_Vellore_hospital_wastewater,CTX-M beta-lactamase,ARO:3005599,cephalosporin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,8.0,ARO:3005599|ID:4505|Name:CTX-M-176|NCBI:NG_048961.1,64.95,1.19,Escherichia coli (chromosome or plasmid): 1; ,49379146,3.25,0.48
CVI-1,App5_Vellore_hospital_wastewater,CVI beta-lactamase,ARO:3006924,carbapenem,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,3.125,100.0,,,,,,,49379146,0.0,0.0
Campylobacter coli chloramphenicol acetyltransferase,App5_Vellore_hospital_wastewater,chloramphenicol acetyltransferase (CAT),ARO:3004454,phenicol antibiotic,phenicol antibiotic,antibiotic inactivation,protein homolog,1,Nudged,37.9808,97.47,Klebsiella pneumoniae (chromosome),7.0,ARO:3004454|ID:2893|Name:Campylobacter_coli_chloramphenicol_acetyltransferase|NCBI:M35190.1,88.14,1.4,Klebsiella pneumoniae (chromosome): 1; ,49379146,2.84,0.57
CatU,App5_Vellore_hospital_wastewater,chloramphenicol acetyltransferase (CAT),ARO:3003983,phenicol antibiotic,phenicol antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.7523,100.0,,,,,,,49379146,0.0,0.0
CfxA,App5_Vellore_hospital_wastewater,CfxA beta-lactamase,ARO:3003001,cephamycin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,2,Nudged,56.8323,99.295,Unknown taxonomy (chromosome or plasmid),,,,,,49379146,0.0,0.0
CfxA2,App5_Vellore_hospital_wastewater,CfxA beta-lactamase,ARO:3003002,cephamycin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,12.0,ARO:3003002|ID:174|Name:CfxA2|NCBI:AF118110.1,86.02,1.58,,49379146,4.87,0.64
CfxA6,App5_Vellore_hospital_wastewater,CfxA beta-lactamase,ARO:3003097,cephamycin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,3.0,ARO:3003097|ID:268|Name:CfxA6|NCBI:GQ342996.1,19.18,0.24,,49379146,1.22,0.1
Corynebacterium striatum tetA,App5_Vellore_hospital_wastewater,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3004639,penam; tetracycline antibiotic,beta-lactam antibiotic; tetracycline antibiotic,antibiotic efflux,protein homolog,1,Nudged,1.5564,100.0,,,,,,,49379146,0.0,0.0
DHA-24,App5_Vellore_hospital_wastewater,DHA beta-lactamase,ARO:3006465,cephalosporin; cephamycin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,ARO:3006465|ID:4577|Name:DHA-24|NCBI:NG_049070.1,26.49,0.26,,49379146,0.81,0.11
EAM-1,App5_Vellore_hospital_wastewater,EAM beta-lactamase,ARO:3006873,carbapenem,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,1.8809,100.0,,,,,,,49379146,0.0,0.0
EC-16,App5_Vellore_hospital_wastewater,EC beta-lactamase,ARO:3006877,cephalosporin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,11.0,ARO:3006877|ID:4591|Name:EC-16|NCBI:NG_049082.1,66.58,1.46,,49379146,4.47,0.59
EC-8,App5_Vellore_hospital_wastewater,EC beta-lactamase,ARO:3006881,cephalosporin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,41.0053,98.71,Unknown taxonomy (chromosome or plasmid),3.0,ARO:3006881|ID:4595|Name:EC-8|NCBI:NG_049086.1,34.57,0.4,,49379146,1.22,0.16
EreA,App5_Vellore_hospital_wastewater,macrolide esterase,ARO:3000361,macrolide antibiotic,macrolide antibiotic,antibiotic inactivation,protein homolog,0,,,,,28.0,ARO:3000361|ID:991|Name:EreA|NCBI:AY183453.1,41.11,2.0,Klebsiella pneumoniae (plasmid): 2; ,49379146,11.37,0.81
EreA2,App5_Vellore_hospital_wastewater,macrolide esterase,ARO:3002826,macrolide antibiotic,macrolide antibiotic,antibiotic inactivation,protein homolog,1,Nudged,12.7139,96.15,Unknown taxonomy (chromosome or plasmid),2.0,ARO:3002826|ID:1518|Name:EreA2|NCBI:AF099140.1,24.61,0.25,,49379146,0.81,0.1
EreB,App5_Vellore_hospital_wastewater,macrolide esterase,ARO:3000363,macrolide antibiotic,macrolide antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,ARO:3000363|ID:1921|Name:EreB|NCBI:X03988.1,12.86,0.24,,49379146,0.81,0.1
EreD,App5_Vellore_hospital_wastewater,macrolide esterase,ARO:3004608,macrolide antibiotic,macrolide antibiotic,antibiotic inactivation,protein homolog,1,Strict,92.4205,96.03,Riemerella anatipestifer (chromosome or plasmid),25.0,ARO:3004608|ID:3305|Name:EreD|NCBI:KP265721.1,92.83,3.01,,49379146,10.15,1.22
Erm(34),App5_Vellore_hospital_wastewater,Erm 23S ribosomal RNA methyltransferase,ARO:3000600,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,streptogramin antibiotic; lincosamide antibiotic; macrolide antibiotic,antibiotic target alteration,protein homolog,1,Nudged,2.4823,100.0,,,,,,,49379146,0.0,0.0
ErmB,App5_Vellore_hospital_wastewater,Erm 23S ribosomal RNA methyltransferase,ARO:3000375,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,streptogramin antibiotic; lincosamide antibiotic; macrolide antibiotic,antibiotic target alteration,protein homolog,1,Strict,98.3936,98.78,Unknown taxonomy (chromosome or plasmid),210.0,ARO:3000375|ID:1549|Name:ErmB|NCBI:AF242872.1,99.87,37.28,Enterococcus faecalis (chromosome): 3; Streptococcus suis (chromosome or plasmid): 13; Enterococcus faecalis (chromosome or plasmid): 12; Streptococcus pneumoniae (chromosome or plasmid): 2; ,49379146,85.29,15.14
ErmF,App5_Vellore_hospital_wastewater,Erm 23S ribosomal RNA methyltransferase,ARO:3000498,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,streptogramin antibiotic; lincosamide antibiotic; macrolide antibiotic,antibiotic target alteration,protein homolog,1,Strict,99.6255,98.87,Unknown taxonomy (chromosome or plasmid),28.0,ARO:3000498|ID:621|Name:ErmF|NCBI:M17124.1,100.0,4.22,Parabacteroides distasonis (chromosome): 1; ,49379146,11.37,1.71
ErmS,App5_Vellore_hospital_wastewater,Erm 23S ribosomal RNA methyltransferase,ARO:3001304,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic,streptogramin antibiotic; lincosamide antibiotic; macrolide antibiotic,antibiotic target alteration,protein homolog,1,Nudged,2.5,100.0,,,,,,,49379146,0.0,0.0
ErmT,App5_Vellore_hospital_wastewater,Erm 23S ribosomal RNA methyltransferase,ARO:3000595,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,streptogramin antibiotic; lincosamide antibiotic; macrolide antibiotic,antibiotic target alteration,protein homolog,1,Strict,99.5918,99.18,Unknown taxonomy (chromosome or plasmid),253.0,ARO:3000595|ID:1275|Name:ErmT|NCBI:M64090.1,100.0,42.75,,49379146,102.75,17.36
ErmX,App5_Vellore_hospital_wastewater,Erm 23S ribosomal RNA methyltransferase,ARO:3000596,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,streptogramin antibiotic; lincosamide antibiotic; macrolide antibiotic,antibiotic target alteration,protein homolog,0,,,,,1.0,ARO:3000596|ID:950|Name:ErmX|NCBI:M36726.1,14.5,0.15,,49379146,0.41,0.06
"Escherichia coli AcrAB-TolC with AcrR mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime",App5_Vellore_hospital_wastewater,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003807,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,beta-lactam antibiotic; tetracycline antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics; phenicol antibiotic,antibiotic target alteration; antibiotic efflux,protein overexpression,1,Nudged,22.2222,100.0,,,,,,,49379146,0.0,0.0
